stim_idx,cluster_id
0,14
1,17
2,31
3,20
4,1
5,15
6,3
7,5
8,40
9,43
10,38
11,29
12,31
13,33
14,45
15,45
16,3
17,45
18,20
19,9
20,18
21,36
22,25
23,33
24,39
25,38
26,22
27,3
28,35
29,33
30,1
31,33
32,34
33,33
34,1
35,26
36,12
37,34
38,15
39,33
40,45
41,1
42,37
43,0
44,12
45,1
46,0
47,42
48,33
49,7
50,38
51,17
52,17
53,43
54,7
55,3
56,30
57,34
58,9
59,0
60,19
61,19
62,38
63,2
64,21
65,0
66,33
67,8
68,11
69,45
70,18
71,36
72,19
73,19
74,33
75,33
76,14
77,33
78,14
79,43
80,3
81,42
82,2
83,41
84,19
85,39
86,17
87,16
88,39
89,25
90,8
91,31
92,42
93,14
94,20
95,19
96,33
97,33
98,38
99,8
100,5
101,41
102,45
103,17
104,39
105,30
106,6
107,34
108,45
109,5
110,15
111,14
112,12
113,9
114,43
115,11
116,5
117,7
118,42
119,1
120,12
121,12
122,8
123,3
124,43
125,21
126,39
127,1
128,8
129,22
130,35
131,5
132,11
133,45
134,34
135,35
136,14
137,17
138,42
139,22
140,32
141,15
142,5
143,6
144,36
145,33
146,22
147,9
148,28
149,7
150,45
151,11
152,7
153,33
154,9
155,40
156,10
157,17
158,7
159,43
160,3
161,43
162,42
163,8
164,9
165,47
166,40
167,13
168,14
169,38
170,20
171,1
172,33
173,22
174,3
175,0
176,18
177,2
178,14
179,25
180,28
181,29
182,20
183,14
184,34
185,38
186,9
187,36
188,9
189,9
190,10
191,1
192,13
193,42
194,0
195,30
196,35
197,1
198,16
199,16
200,41
201,19
202,37
203,14
204,19
205,8
206,6
207,2
208,1
209,26
210,1
211,1
212,22
213,1
214,5
215,16
216,27
217,42
218,39
219,25
220,33
221,36
222,7
223,43
224,12
225,22
226,8
227,15
228,5
229,19
230,38
231,10
232,1
233,3
234,7
235,0
236,3
237,25
238,3
239,17
240,34
241,9
242,14
243,3
244,42
245,22
246,16
247,15
248,34
249,37
250,33
251,8
252,45
253,22
254,35
255,19
256,3
257,19
258,3
259,37
260,40
261,33
262,36
263,8
264,1
265,22
266,8
267,36
268,34
269,8
270,34
271,17
272,12
273,27
274,3
275,30
276,3
277,47
278,16
279,22
280,31
281,7
282,22
283,28
284,28
285,16
286,33
287,16
288,0
289,9
290,19
291,32
292,16
293,22
294,19
295,45
296,5
297,20
298,31
299,12
300,40
301,6
302,33
303,29
304,3
305,3
306,7
307,33
308,28
309,16
310,22
311,17
312,12
313,38
314,20
315,41
316,39
317,12
318,32
319,41
320,34
321,8
322,5
323,45
324,33
325,17
326,16
327,26
328,36
329,37
330,28
331,17
332,8
333,39
334,43
335,8
336,5
337,31
338,0
339,36
340,34
341,3
342,31
343,20
344,28
345,0
346,33
347,9
348,8
349,25
350,14
351,1
352,33
353,9
354,21
355,22
