stim_idx,cluster_id
0,15
1,30
2,28
3,29
4,16
5,17
6,10
7,32
8,15
9,3
10,3
11,11
12,19
13,19
14,18
15,2
16,25
17,21
18,33
19,1
20,30
21,24
22,5
23,10
24,4
25,22
26,10
27,35
28,15
29,9
30,11
31,4
32,14
33,7
34,2
35,25
36,9
37,27
38,3
39,15
40,10
41,5
42,10
43,29
44,19
45,10
46,28
47,5
48,14
49,25
50,3
51,18
52,2
53,35
54,15
55,34
56,5
57,2
58,4
59,32
60,31
61,19
62,0
63,2
64,6
65,19
66,21
67,27
68,2
69,34
70,18
71,0
72,31
73,10
74,32
75,20
76,24
77,5
78,21
79,19
80,12
81,15
82,16
83,33
84,23
85,15
86,25
87,13
88,10
89,22
90,14
91,26
92,28
93,22
94,21
95,34
96,10
97,15
98,20
99,15
100,3
101,13
102,19
103,27
104,20
105,11
106,4
107,7
108,4
109,2
110,29
111,27
112,2
113,29
114,10
115,1
116,30
117,15
118,22
119,7
120,19
121,32
122,19
123,19
124,9
125,17
126,19
127,7
128,25
129,15
130,22
131,7
132,17
133,25
134,21
135,22
136,5
137,27
138,25
139,15
140,7
141,17
142,28
143,15
144,22
145,4
146,4
147,23
148,23
149,2
150,25
151,6
152,34
153,18
154,16
155,0
156,12
157,24
158,27
159,9
160,4
161,6
162,7
163,4
164,9
165,7
166,7
167,1
168,15
169,28
170,22
171,25
172,16
173,19
174,5
175,1
176,11
177,3
178,25
179,25
180,4
181,1
182,10
183,22
184,31
185,15
186,9
187,14
188,1
189,1
190,7
191,13
192,17
193,4
194,26
195,5
196,11
197,4
198,31
199,10
200,3
201,16
202,14
203,8
204,33
205,14
206,13
207,22
208,34
209,26
210,30
211,15
212,16
213,7
214,22
215,33
216,23
217,19
218,32
219,33
220,13
221,28
222,25
223,10
224,14
225,8
226,13
227,9
228,4
229,10
230,2
231,12
232,35
233,22
234,5
235,1
236,16
237,32
238,19
239,18
240,25
241,6
242,7
243,34
244,16
245,20
246,26
247,26
248,19
249,35
250,12
251,13
252,31
253,28
254,2
255,22
256,25
257,19
258,16
259,9
260,0
261,19
262,0
263,19
264,19
265,25
266,3
267,9
268,19
269,13
270,27
271,5
272,15
273,22
274,7
275,22
276,19
277,27
278,9
279,32
280,4
281,30
282,13
283,8
284,17
285,35
286,8
287,12
288,23
289,3
290,33
291,25
292,4
293,13
294,31
295,5
296,13
297,19
298,17
299,14
300,22
301,31
302,0
303,29
304,14
305,35
306,5
307,33
308,6
309,14
310,35
311,27
312,18
313,10
314,6
315,4
316,7
317,5
318,24
319,6
320,16
321,2
322,10
323,28
324,0
325,30
326,6
327,9
328,7
329,6
330,10
331,2
332,2
333,28
334,0
335,19
336,4
337,10
338,23
339,15
340,25
341,2
342,10
343,2
344,10
345,1
346,13
347,23
348,9
349,29
350,2
351,27
352,7
353,3
354,1
355,15
356,1
357,10
358,15
359,10
360,18
361,6
362,24
363,10
364,1
365,15
366,20
367,3
368,3
369,30
370,15
371,10
372,6
373,15
374,20
375,3
376,8
377,2
378,4
379,3
380,25
381,13
382,25
383,7
384,27
385,13
386,9
387,20
388,1
389,5
390,15
391,1
392,15
393,2
394,2
395,1
396,2
397,17
398,2
399,29
400,27
401,10
402,25
403,21
404,16
405,6
406,10
407,9
408,19
409,22
410,24
411,10
412,35
413,18
414,10
415,24
416,11
417,32
418,4
419,14
420,22
421,4
422,6
423,31
424,19
425,0
426,7
427,7
428,23
429,19
430,35
431,30
432,6
433,7
434,25
435,27
436,1
437,35
438,9
439,14
440,5
441,28
442,25
443,6
444,13
445,5
446,10
447,26
448,24
449,3
450,16
451,7
452,35
453,4
454,2
455,22
456,3
457,23
458,15
459,7
460,4
461,2
462,9
463,20
464,9
465,15
466,17
467,13
468,16
469,2
470,7
471,17
472,15
473,12
474,15
475,6
476,22
477,0
478,10
479,7
480,19
481,1
482,35
483,32
484,12
485,35
486,7
487,3
488,7
489,32
490,12
491,14
492,2
493,18
494,21
495,7
496,14
497,19
498,0
499,23
500,29
501,2
502,16
503,22
504,15
505,1
506,9
507,31
508,18
509,7
510,28
511,14
512,12
513,2
514,23
515,1
516,20
517,8
518,25
519,6
520,3
521,34
522,22
523,3
524,1
525,5
526,3
527,33
528,6
529,23
530,5
531,28
532,5
533,4
534,32
535,13
536,31
537,16
538,3
539,1
540,0
541,29
542,19
543,16
544,9
545,25
546,6
547,20
548,0
549,4
550,7
551,29
552,22
553,25
554,22
555,6
556,3
557,30
558,9
559,4
560,4
561,9
562,9
563,8
564,19
565,11
566,9
567,19
568,10
569,19
570,15
571,14
572,29
573,18
574,10
575,19
576,13
577,10
578,10
579,22
580,28
581,24
582,16
583,22
584,27
585,20
586,1
587,32
588,7
589,13
590,21
591,33
592,13
593,13
594,18
595,22
596,13
597,19
598,35
599,10
600,9
601,8
602,25
603,30
604,11
605,25
