stim_idx,cluster_id
0,8
1,5
2,9
3,0
4,9
5,8
6,0
7,3
8,7
9,12
10,0
11,3
12,9
13,9
14,7
15,14
16,5
17,13
18,2
19,3
20,11
21,10
22,2
23,14
24,0
25,2
26,8
27,10
28,11
29,11
30,2
31,10
32,14
33,10
34,3
35,13
36,13
37,9
38,9
39,10
40,10
41,13
42,14
43,9
44,1
45,8
46,9
47,13
48,13
49,8
50,0
51,10
52,11
53,2
54,5
55,10
56,2
57,5
58,3
59,14
60,0
61,9
62,13
63,5
64,3
65,9
66,10
67,5
68,7
69,9
70,10
71,3
72,14
73,0
74,13
75,13
76,2
77,9
78,0
79,1
80,1
81,14
82,10
83,10
84,9
85,9
86,11
87,10
88,0
89,3
90,5
91,9
92,3
93,5
94,0
95,0
96,10
97,1
98,8
99,2
100,3
101,0
102,13
103,10
104,13
105,11
106,7
107,2
108,1
109,0
110,12
111,7
112,5
113,2
114,0
115,12
116,14
117,0
118,14
119,10
120,14
121,7
122,5
123,14
124,6
125,12
126,10
127,14
128,10
129,11
130,7
131,0
132,6
133,13
134,1
135,10
136,12
137,9
138,14
139,14
140,0
141,12
142,10
143,11
144,13
145,14
146,9
147,0
148,8
149,5
150,1
151,10
152,11
153,12
154,9
155,1
156,1
157,1
158,11
159,10
160,0
161,2
162,11
163,0
164,8
165,7
166,14
167,2
168,11
169,2
170,11
171,9
172,10
173,5
174,8
175,9
176,1
177,6
178,5
179,1
180,0
181,8
182,5
183,14
184,5
185,0
186,2
187,2
188,13
189,0
190,6
191,8
192,8
193,0
194,2
195,0
196,5
197,8
198,1
199,2
200,10
201,8
202,13
203,12
204,8
205,0
206,1
207,2
208,10
209,13
210,5
211,8
212,10
213,0
214,2
215,13
216,3
217,0
218,9
219,0
220,9
221,9
222,10
223,4
224,13
225,11
226,5
227,12
228,5
229,0
230,2
231,4
232,10
233,1
234,10
235,3
236,13
237,7
238,5
239,14
240,11
241,9
242,13
243,1
244,13
245,0
246,12
247,3
248,10
249,13
250,11
251,13
252,0
253,10
254,1
255,12
256,5
257,0
258,11
259,0
260,13
261,10
262,8
263,2
264,14
265,10
266,12
267,0
268,3
269,13
270,11
271,0
272,2
273,0
274,14
275,8
276,11
277,2
278,1
279,9
280,11
281,11
282,8
283,1
284,0
285,1
286,1
287,1
288,12
289,9
290,8
291,13
292,14
293,0
294,8
295,14
296,0
297,2
298,14
299,5
300,14
301,10
302,0
303,6
304,14
305,8
306,0
307,0
308,1
309,7
310,0
311,10
312,10
313,9
314,10
315,7
316,13
317,14
318,10
319,7
320,5
321,5
322,8
323,13
324,0
325,5
326,13
327,1
328,7
329,8
330,14
331,11
332,10
333,1
334,3
335,13
336,2
337,9
338,12
339,1
340,11
341,14
342,0
343,10
344,2
345,6
346,0
347,9
348,10
349,8
350,2
351,14
352,13
353,13
354,10
355,0
356,9
357,0
358,9
359,8
360,0
361,2
362,12
363,10
364,2
365,13
366,0
367,7
368,10
369,9
370,8
371,2
372,0
373,14
374,1
375,2
376,9
377,0
378,5
379,0
380,5
381,13
382,14
383,0
384,0
385,12
386,1
387,0
388,10
389,13
390,13
391,8
392,10
393,11
394,5
395,3
396,7
397,2
398,10
399,2
400,14
401,2
402,13
403,11
404,11
405,9
406,9
407,2
408,14
409,12
410,13
411,8
412,13
413,14
414,13
415,0
416,14
417,0
418,13
419,2
420,7
421,14
422,13
423,10
424,7
425,10
426,14
427,5
428,12
429,2
430,10
431,11
432,13
433,13
434,14
435,14
436,6
437,14
438,0
439,8
440,1
441,10
442,10
443,8
444,9
445,14
446,2
447,9
448,0
449,10
450,11
451,0
452,14
453,10
454,13
455,0
456,14
457,3
458,10
459,9
460,13
461,10
462,2
463,0
464,8
465,8
466,8
467,12
468,2
469,11
470,14
471,7
472,10
473,6
474,1
475,9
476,2
477,9
478,3
479,0
480,1
481,7
482,8
483,14
484,2
485,13
486,0
487,8
488,1
489,4
490,4
491,3
492,5
493,5
494,8
495,7
496,5
497,0
498,2
499,8
500,8
501,0
502,5
503,14
504,11
505,9
506,12
507,10
508,5
509,14
510,14
511,5
512,6
513,11
514,6
515,3
516,1
517,7
518,12
519,6
520,0
521,1
522,10
523,14
524,9
525,1
526,1
527,13
528,11
529,10
530,2
531,9
532,8
533,10
534,0
535,10
536,12
537,13
538,8
539,6
540,8
541,10
542,9
543,5
544,12
545,10
546,3
547,3
548,0
549,10
550,2
551,8
552,2
553,10
554,8
555,13
556,3
557,13
558,9
559,1
560,9
561,6
562,2
563,2
564,13
565,1
566,9
567,0
568,1
569,9
570,11
571,14
572,8
573,10
574,10
575,1
576,13
577,10
578,0
579,2
580,7
581,14
582,12
583,0
584,14
585,1
586,6
587,2
588,10
589,12
590,14
591,13
592,12
593,6
594,5
595,5
596,13
597,10
598,9
599,9
600,10
601,10
602,11
603,5
604,5
605,11
606,9
607,10
608,14
609,10
610,0
611,13
612,13
613,10
614,11
615,9
616,11
617,9
618,0
619,14
620,10
621,5
622,10
623,11
624,10
625,0
626,9
627,14
628,7
629,7
630,4
631,5
632,2
633,10
634,1
635,13
636,13
637,7
638,6
639,8
640,9
641,14
642,0
643,1
644,8
645,7
646,6
647,8
648,8
649,10
650,5
651,1
652,6
653,7
654,12
655,11
656,11
657,2
658,8
659,11
660,9
661,14
662,1
663,8
664,13
665,11
666,5
667,5
668,9
669,8
670,2
671,0
672,14
673,13
674,10
675,7
676,10
677,13
678,5
679,11
680,10
681,5
682,2
683,0
684,4
685,12
686,7
687,2
688,8
689,2
690,1
691,2
692,9
693,0
