stim_idx,cluster_id
0,46
1,11
2,34
3,47
4,9
5,23
6,20
7,36
8,2
9,4
10,32
11,26
12,33
13,9
14,12
15,28
16,32
17,36
18,5
19,4
20,22
21,11
22,19
23,9
24,47
25,1
26,9
27,29
28,9
29,46
30,13
31,9
32,29
33,9
34,8
35,2
36,22
37,13
38,26
39,9
40,9
41,43
42,48
43,7
44,35
45,29
46,4
47,4
48,29
49,14
50,25
51,25
52,29
53,36
54,20
55,15
56,25
57,47
58,36
59,27
60,9
61,1
62,9
63,29
64,40
65,15
66,8
67,19
68,28
69,6
70,17
71,11
72,26
73,48
74,6
75,11
76,21
77,6
78,34
79,26
80,8
81,9
82,18
83,38
84,46
85,9
86,15
87,36
88,12
89,47
90,34
91,36
92,6
93,32
94,15
95,8
96,31
97,9
98,22
99,9
100,11
101,36
102,35
103,1
104,34
105,37
106,15
107,5
108,6
109,0
110,7
111,31
112,46
113,31
114,26
115,28
116,47
117,36
118,29
119,33
120,35
121,9
122,9
123,6
124,7
125,4
126,38
127,19
128,46
129,37
130,7
131,30
132,23
133,41
134,8
135,32
136,31
137,29
138,42
139,9
140,29
141,48
142,19
143,6
144,29
145,9
146,9
147,47
148,6
149,46
150,26
151,39
152,9
153,9
154,37
155,26
156,3
157,14
158,36
159,28
160,31
161,22
162,9
163,9
164,29
165,15
166,9
167,27
168,33
169,6
170,43
171,46
172,9
173,29
174,20
175,18
176,20
177,47
178,19
179,7
180,22
181,0
182,32
183,21
184,9
185,7
186,19
187,5
188,4
189,4
190,3
191,6
192,39
193,20
194,34
195,21
196,29
197,13
198,9
199,22
200,39
201,12
202,2
203,21
204,9
205,29
206,5
207,14
208,12
209,23
210,44
211,44
212,9
213,19
214,31
215,29
216,21
217,44
218,40
219,5
220,9
221,26
222,9
223,1
224,33
225,38
226,21
227,7
228,34
229,6
230,33
231,40
232,5
233,20
234,31
235,34
236,6
237,6
238,1
239,9
240,36
241,4
242,4
243,8
244,15
245,9
246,18
247,11
248,35
249,48
250,46
251,46
252,6
253,4
254,21
255,21
256,13
257,9
258,15
259,34
260,27
261,36
262,29
263,20
264,9
265,9
266,29
267,29
268,14
269,36
270,32
271,29
272,36
273,16
274,9
275,20
276,29
277,7
278,7
279,23
280,32
281,11
282,9
283,7
284,29
285,47
286,2
287,12
288,26
289,47
290,9
291,35
292,29
293,6
294,9
295,31
296,6
297,19
298,6
299,36
300,31
301,15
302,47
303,40
304,6
305,34
306,6
307,29
308,4
309,21
310,9
311,23
312,48
313,0
314,4
315,41
316,30
317,8
318,23
319,40
320,8
321,21
322,7
323,9
324,25
325,6
326,1
327,25
328,22
329,29
330,47
331,9
332,14
333,8
334,4
335,9
336,21
337,9
338,17
339,40
340,9
341,25
342,19
343,21
344,22
345,41
346,2
347,11
348,46
349,36
350,32
351,5
352,9
353,33
354,19
355,1
356,12
357,11
358,21
359,12
360,11
361,22
362,10
363,9
364,19
365,20
366,23
367,11
368,0
369,11
370,35
371,23
372,16
373,46
374,46
375,29
376,36
377,29
378,9
379,7
380,7
381,47
382,1
383,14
384,36
385,36
386,17
387,19
388,32
389,19
390,11
391,7
392,37
393,11
394,29
395,39
396,17
397,22
398,46
399,6
400,15
401,27
402,9
403,9
404,33
405,9
406,19
407,46
408,6
409,4
410,29
411,9
412,12
413,6
414,30
415,21
416,7
417,40
418,7
419,4
420,17
421,31
422,7
423,9
424,32
425,42
426,6
427,12
428,33
429,20
430,20
431,25
432,0
433,20
434,2
435,9
436,24
437,29
438,18
439,37
440,4
441,6
442,9
443,32
444,9
445,9
446,34
447,12
448,5
449,0
450,9
451,29
452,35
453,9
454,27
455,35
456,12
457,7
458,31
459,36
460,9
461,46
462,12
463,1
464,47
465,6
466,34
467,7
468,36
469,17
470,9
471,32
472,19
473,24
474,37
475,41
476,36
477,36
478,1
479,34
480,9
481,34
482,9
483,9
484,10
485,43
486,9
487,2
488,17
489,31
490,24
491,14
492,15
493,9
494,40
495,43
496,15
497,6
498,6
499,9
500,16
501,11
502,41
503,40
504,18
505,15
506,26
507,18
508,36
509,36
510,26
511,15
512,39
513,8
514,2
515,16
516,7
517,4
518,37
519,29
520,34
521,41
522,19
523,12
524,18
525,29
526,29
527,31
528,6
529,43
530,44
531,7
532,32
533,15
534,22
535,21
536,0
537,9
538,15
539,7
540,2
541,16
542,4
543,2
544,42
545,32
546,22
547,32
548,9
549,9
550,41
551,47
552,31
553,29
554,5
555,47
556,8
557,46
558,9
559,2
560,13
561,34
562,4
563,15
564,37
565,37
566,7
567,8
568,31
569,15
570,31
571,17
572,28
573,48
574,32
575,6
576,46
577,44
578,17
579,21
580,18
581,9
582,36
583,29
584,29
585,34
586,47
587,36
588,11
589,20
590,13
591,36
592,9
593,13
594,46
595,46
596,40
597,46
598,46
599,8
600,17
601,25
602,9
603,21
604,37
605,9
606,9
607,1
608,4
609,30
610,46
611,12
612,30
613,46
614,31
615,9
616,17
617,34
618,6
619,20
620,6
621,18
622,46
623,36
624,36
625,47
626,19
627,4
628,40
629,4
630,10
631,35
632,39
633,9
634,10
635,23
636,21
637,4
638,23
639,6
640,34
641,22
642,46
643,28
644,34
645,13
646,48
647,19
648,34
649,13
650,9
651,2
652,45
653,47
654,39
655,23
656,9
657,36
658,46
659,9
660,2
661,9
662,4
663,37
664,22
665,6
666,29
667,31
668,38
669,9
670,19
671,9
672,6
673,8
674,9
675,15
676,9
677,38
678,11
679,9
680,35
681,16
682,14
683,9
684,40
685,10
686,22
687,9
688,31
689,12
690,36
691,7
692,16
693,4
694,47
695,13
696,2
697,9
698,9
699,25
700,29
701,45
702,17
703,7
704,9
705,2
706,10
707,9
708,4
709,13
710,47
711,1
712,44
713,9
714,31
715,38
716,20
717,8
718,31
719,9
720,34
721,7
722,37
723,9
724,9
725,14
726,36
727,28
728,44
729,38
730,11
731,7
732,11
733,29
734,30
735,35
736,43
737,12
738,19
739,11
740,32
741,34
742,31
743,2
744,7
745,13
746,9
747,19
748,29
749,4
750,29
751,40
752,29
753,40
754,25
755,46
756,6
757,26
758,17
759,4
760,22
761,9
762,30
763,10
764,29
765,33
766,30
767,11
768,29
769,35
770,31
771,47
772,25
773,6
774,36
775,9
776,34
777,15
778,37
779,1
780,36
781,32
782,20
783,17
784,7
785,7
786,8
787,9
788,31
789,46
790,22
791,19
792,31
793,14
794,27
795,48
796,45
797,23
798,41
799,9
800,41
801,4
802,25
803,35
804,30
805,48
806,7
807,29
808,31
809,47
810,0
811,46
812,37
813,19
814,10
815,46
816,9
817,2
818,4
819,4
820,11
821,31
822,46
823,22
824,30
825,34
826,48
827,40
828,32
829,21
830,9
831,2
832,43
833,11
834,5
835,11
836,5
837,34
838,44
839,29
840,21
841,35
842,1
843,22
844,22
845,9
846,37
847,31
848,47
849,29
850,9
851,9
852,28
853,38
854,23
855,11
856,33
857,37
858,21
859,26
860,45
861,33
862,1
863,13
864,32
865,37
866,6
867,34
868,2
869,29
870,48
871,13
872,26
873,46
874,20
875,11
876,1
877,29
878,30
879,14
880,44
881,4
882,22
883,36
884,48
885,5
886,22
887,21
888,31
889,8
890,11
891,32
892,21
893,9
894,46
895,47
896,10
897,44
898,12
899,6
900,47
901,6
902,9
903,7
904,20
905,25
906,4
907,8
908,42
909,12
910,15
911,19
912,9
913,19
914,31
915,17
916,7
917,4
918,0
919,11
920,43
921,4
922,30
923,44
924,9
925,20
926,36
927,27
928,4
929,11
930,18
931,29
932,15
933,26
934,1
935,7
936,9
937,41
938,4
939,2
940,32
941,6
942,23
943,33
944,0
945,25
946,15
947,15
948,15
949,20
950,8
951,5
952,21
953,33
954,14
955,2
956,15
957,27
958,35
959,30
960,24
961,9
962,7
963,17
964,33
965,1
966,31
967,29
968,25
969,9
970,35
971,45
972,6
973,8
974,32
975,5
976,1
977,22
978,6
979,9
980,9
981,13
982,12
983,9
984,15
985,35
986,44
987,6
988,31
989,29
990,9
991,6
992,34
993,30
994,25
995,4
996,3
997,7
998,11
999,29
1000,9
1001,23
1002,2
1003,28
1004,36
1005,29
1006,9
1007,36
1008,31
1009,4
1010,46
1011,8
1012,43
1013,36
1014,48
1015,5
1016,6
1017,12
1018,22
1019,31
1020,36
1021,24
1022,8
1023,29
1024,17
1025,12
1026,29
1027,35
1028,25
1029,46
1030,7
1031,31
1032,11
1033,6
1034,20
1035,0
1036,26
1037,19
1038,25
1039,9
1040,12
1041,15
1042,16
1043,13
1044,13
1045,29
1046,31
1047,17
1048,11
1049,0
1050,7
1051,31
1052,29
1053,11
1054,36
1055,39
1056,35
1057,13
1058,42
1059,41
1060,20
1061,29
1062,43
1063,37
1064,9
1065,9
1066,17
1067,30
1068,25
1069,4
1070,20
1071,9
1072,10
1073,32
1074,14
1075,9
1076,9
1077,20
1078,6
1079,22
1080,29
1081,46
1082,21
1083,7
1084,6
1085,0
1086,19
1087,9
1088,4
1089,17
1090,9
1091,34
1092,20
1093,10
1094,15
1095,1
1096,9
1097,9
1098,37
1099,32
1100,35
1101,35
1102,6
1103,6
1104,34
1105,22
1106,12
1107,47
1108,8
1109,7
1110,44
1111,34
1112,30
1113,11
1114,7
1115,12
1116,34
1117,26
1118,7
1119,31
1120,3
1121,46
1122,37
1123,9
1124,4
1125,2
1126,15
1127,9
1128,2
1129,33
1130,4
1131,3
1132,38
1133,9
1134,13
1135,34
1136,17
1137,9
1138,39
1139,47
1140,6
1141,32
1142,4
1143,9
1144,35
1145,19
1146,34
1147,48
1148,29
1149,14
1150,12
1151,36
1152,2
1153,9
1154,30
1155,48
1156,5
1157,19
1158,46
1159,18
1160,30
1161,37
1162,14
1163,13
1164,35
1165,29
1166,32
1167,4
1168,28
1169,32
1170,36
1171,9
1172,9
1173,29
1174,30
1175,0
1176,46
1177,34
1178,6
1179,31
1180,29
1181,1
1182,17
1183,30
1184,13
1185,1
1186,13
1187,14
1188,15
1189,24
1190,23
1191,47
1192,47
1193,46
1194,15
1195,26
1196,25
1197,37
1198,9
1199,0
1200,7
1201,48
1202,33
1203,35
1204,31
1205,17
1206,26
1207,17
1208,26
1209,22
1210,29
1211,8
1212,15
1213,41
1214,9
1215,4
1216,46
1217,36
1218,11
1219,32
1220,38
1221,37
1222,33
1223,46
1224,15
1225,28
1226,32
1227,28
1228,8
1229,4
1230,22
1231,12
1232,34
1233,7
1234,31
1235,41
1236,9
1237,38
1238,9
1239,9
1240,31
1241,11
1242,38
1243,27
1244,2
1245,6
1246,4
1247,41
1248,25
1249,23
1250,36
1251,34
1252,6
1253,9
1254,8
1255,33
1256,9
1257,1
1258,16
1259,15
1260,9
1261,47
1262,9
1263,17
1264,9
1265,47
1266,46
1267,13
1268,9
1269,9
1270,13
1271,37
1272,24
1273,31
1274,29
1275,32
1276,7
1277,16
1278,12
1279,36
1280,36
1281,7
1282,29
1283,29
1284,37
1285,14
1286,15
1287,25
1288,9
1289,43
1290,9
1291,31
1292,32
1293,21
1294,20
1295,20
1296,19
1297,30
1298,26
1299,8
1300,48
1301,28
1302,12
1303,32
1304,43
1305,9
1306,19
1307,34
1308,33
1309,2
1310,5
1311,46
1312,23
1313,18
1314,2
1315,19
1316,47
1317,9
1318,25
1319,6
1320,4
1321,35
1322,46
1323,19
1324,30
1325,48
1326,2
1327,9
1328,48
1329,44
1330,9
1331,6
1332,21
1333,28
1334,9
1335,32
1336,35
1337,21
1338,9
1339,8
1340,44
1341,6
1342,44
1343,11
1344,22
1345,9
1346,33
1347,11
1348,21
1349,7
1350,37
1351,34
1352,7
1353,6
1354,41
1355,47
1356,26
1357,30
1358,7
1359,35
1360,12
1361,9
1362,21
1363,30
1364,38
1365,43
1366,40
1367,9
1368,35
1369,21
1370,44
1371,47
1372,3
1373,8
1374,12
1375,27
1376,2
1377,44
1378,18
1379,36
1380,20
1381,21
1382,28
1383,2
1384,6
1385,9
1386,46
1387,15
1388,36
1389,29
1390,9
1391,37
1392,18
1393,5
1394,15
1395,6
1396,26
1397,15
1398,36
1399,25
1400,40
1401,21
1402,8
1403,36
1404,8
1405,13
1406,47
1407,12
1408,28
1409,21
1410,40
1411,15
1412,34
1413,48
1414,35
1415,11
1416,6
