stim_idx,cluster_id
0,0
1,1
2,2
3,1
4,2
5,1
6,2
7,1
8,1
9,1
10,1
11,0
12,1
13,2
14,1
15,1
16,1
17,1
18,1
19,2
20,2
21,1
22,0
23,2
24,1
25,1
26,2
27,1
28,1
29,1
30,1
31,2
32,1
33,2
34,1
35,1
36,1
37,2
38,1
39,1
40,1
41,1
42,2
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,2
53,1
54,1
55,2
56,1
57,1
58,2
59,1
60,1
61,2
62,2
63,1
64,1
65,2
66,1
67,1
68,0
69,2
70,1
71,1
72,1
73,2
74,1
75,2
76,1
77,1
78,1
79,1
80,2
81,1
82,1
83,1
84,1
85,2
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,2
98,1
99,2
100,1
101,1
102,1
103,1
104,1
105,1
106,2
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,2
121,2
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,2
130,1
131,2
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,2
140,1
141,1
142,2
143,1
144,1
145,2
146,1
147,1
148,1
149,1
150,1
151,1
152,2
153,1
154,0
155,1
156,0
157,1
158,1
159,1
160,1
161,1
162,2
163,1
164,2
165,1
166,2
167,1
168,1
169,1
170,1
171,1
172,2
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,2
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,2
200,1
201,1
202,1
203,1
204,2
205,1
206,1
207,1
208,1
209,2
210,1
211,1
212,2
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,2
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,2
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,2
239,2
240,1
241,1
242,1
243,2
244,2
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,2
253,1
254,1
255,1
256,1
257,2
258,2
259,1
260,1
261,1
262,1
263,1
264,2
265,2
266,1
267,1
268,2
269,1
270,1
271,1
272,1
273,1
274,2
275,1
276,1
277,1
278,2
279,1
280,1
281,1
282,2
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,2
294,2
295,1
296,2
297,1
298,2
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,2
311,1
312,1
313,1
314,1
315,1
316,2
317,0
318,1
319,1
320,1
321,2
322,1
323,1
324,1
325,1
326,1
327,2
328,0
329,1
330,1
331,2
332,1
333,1
334,1
335,2
336,1
337,2
338,1
339,1
340,2
341,1
342,2
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,2
353,1
354,1
355,2
356,1
357,1
358,1
359,1
360,2
361,1
362,0
363,2
364,1
365,2
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,2
379,1
380,2
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,2
403,2
404,1
405,1
406,1
407,1
408,2
409,1
410,1
411,2
412,1
413,2
414,2
415,2
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,2
424,2
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,2
436,1
437,1
438,1
439,1
440,1
441,1
442,2
443,1
444,2
445,2
446,2
447,1
448,1
449,1
450,2
451,1
452,1
453,2
454,1
455,1
456,1
457,1
458,1
459,1
460,2
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,2
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,2
481,1
482,2
483,2
484,0
485,1
486,2
487,1
488,1
489,1
490,0
491,1
492,1
493,1
494,1
495,0
496,1
497,1
498,1
499,2
500,1
501,1
502,1
503,1
504,1
505,2
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,2
534,1
535,1
536,1
537,2
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,2
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,2
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,2
570,1
571,1
572,0
573,1
574,1
575,2
576,1
577,1
578,1
579,1
580,1
581,2
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,2
591,1
592,2
593,1
594,2
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,2
606,2
607,1
608,1
609,2
610,1
611,1
612,2
613,2
614,1
615,1
616,1
617,1
618,2
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,0
631,2
632,1
633,2
634,0
635,1
636,1
637,1
638,0
639,1
640,1
641,1
642,2
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,0
653,1
654,0
655,1
656,2
657,1
658,1
659,2
660,1
661,2
662,1
663,1
664,1
665,2
666,1
667,1
668,1
669,1
670,1
671,2
672,1
673,2
674,2
675,1
676,2
677,1
678,1
679,2
680,1
681,1
682,1
683,2
684,0
685,0
686,1
687,1
688,1
689,2
690,1
691,1
692,1
693,2
694,1
695,1
696,1
697,1
698,2
699,1
700,1
701,0
702,1
703,0
704,2
705,1
706,0
707,2
708,1
709,1
710,1
711,1
712,1
713,2
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,2
724,2
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,2
735,1
736,1
737,1
738,1
739,0
740,1
741,1
742,1
743,1
744,1
745,1
746,2
747,0
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,2
762,2
763,0
764,1
765,1
766,2
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,2
776,1
777,2
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,0
795,1
796,0
797,1
798,1
799,2
800,1
801,1
802,1
803,1
804,2
805,2
806,0
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,0
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,2
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,0
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,2
846,1
847,1
848,1
849,1
850,2
851,2
852,1
853,0
854,1
855,1
856,1
857,1
858,1
859,1
860,0
861,1
862,2
863,1
864,1
865,2
866,1
867,1
868,1
869,1
870,1
871,1
872,2
873,1
874,2
875,1
876,1
877,1
878,2
879,1
880,1
881,1
882,1
883,1
884,1
885,2
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,2
894,1
895,1
896,0
897,1
898,1
899,2
900,1
901,1
902,1
903,2
904,1
905,1
906,1
907,2
908,1
909,1
910,1
911,2
912,2
913,1
914,2
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,2
923,1
924,2
925,1
926,1
927,0
928,1
929,1
930,0
931,1
932,2
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,2
947,2
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,0
958,1
959,2
960,1
961,2
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,2
970,1
971,0
972,2
973,1
974,1
975,1
976,1
977,1
978,1
979,2
980,2
981,1
982,1
983,2
984,1
985,1
986,1
987,1
988,1
989,2
990,2
991,2
992,1
993,2
994,1
995,1
996,0
997,1
998,1
999,1
1000,2
1001,1
1002,1
1003,0
1004,1
1005,1
1006,2
1007,1
1008,1
1009,2
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,2
1017,1
1018,1
1019,1
1020,1
1021,0
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,2
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,2
1057,1
1058,1
1059,1
